,Dates,Type
0,2019-01-01,Weekday
1,2019-01-02,Weekday
2,2019-01-03,Weekday
3,2019-01-04,Weekend
4,2019-01-05,Weekend
5,2019-01-06,Weekday
6,2019-01-07,Weekday
7,2019-01-08,Weekday
8,2019-01-09,Weekday
9,2019-01-10,Weekday
10,2019-01-11,Weekend
11,2019-01-12,Weekend
12,2019-01-13,Weekday
13,2019-01-14,Weekday
14,2019-01-15,Weekday
15,2019-01-16,Weekday
16,2019-01-17,Weekday
17,2019-01-18,Weekend
18,2019-01-19,Weekend
19,2019-01-20,Weekday
20,2019-01-21,Weekday
21,2019-01-22,Weekday
22,2019-01-23,Weekday
23,2019-01-24,Weekday
24,2019-01-25,Weekend
25,2019-01-26,Weekend
26,2019-01-27,Weekday
27,2019-01-28,Weekday
28,2019-01-29,Weekday
29,2019-01-30,Weekday
30,2019-01-31,Weekday
31,2019-02-01,Weekend
32,2019-02-02,Weekend
33,2019-02-03,Weekday
34,2019-02-04,Weekday
35,2019-02-05,Weekday
36,2019-02-06,Weekday
37,2019-02-07,Weekday
38,2019-02-08,Weekend
39,2019-02-09,Weekend
40,2019-02-10,Weekday
41,2019-02-11,Weekday
42,2019-02-12,Weekday
43,2019-02-13,Weekday
44,2019-02-14,Weekday
45,2019-02-15,Weekend
46,2019-02-16,Weekend
47,2019-02-17,Weekday
48,2019-02-18,Weekday
49,2019-02-19,Weekday
50,2019-02-20,Weekday
51,2019-02-21,Holiday
52,2019-02-22,Weekend
53,2019-02-23,Weekend
54,2019-02-24,Weekday
55,2019-02-25,Weekday
56,2019-02-26,Weekday
57,2019-02-27,Weekday
58,2019-02-28,Weekday
59,2019-03-01,Weekend
60,2019-03-02,Weekend
61,2019-03-03,Weekday
62,2019-03-04,Weekday
63,2019-03-05,Weekday
64,2019-03-06,Weekday
65,2019-03-07,Weekday
66,2019-03-08,Weekend
67,2019-03-09,Weekend
68,2019-03-10,Weekday
69,2019-03-11,Weekday
70,2019-03-12,Weekday
71,2019-03-13,Weekday
72,2019-03-14,Weekday
73,2019-03-15,Weekend
74,2019-03-16,Weekend
75,2019-03-17,Holiday
76,2019-03-18,Weekday
77,2019-03-19,Weekday
78,2019-03-20,Weekday
79,2019-03-21,Weekday
80,2019-03-22,Weekend
81,2019-03-23,Weekend
82,2019-03-24,Weekday
83,2019-03-25,Weekday
84,2019-03-26,Holiday
85,2019-03-27,Weekday
86,2019-03-28,Weekday
87,2019-03-29,Weekend
88,2019-03-30,Weekend
89,2019-03-31,Weekday
90,2019-04-01,Weekday
91,2019-04-02,Weekday
92,2019-04-03,Weekday
93,2019-04-04,Weekday
94,2019-04-05,Weekend
95,2019-04-06,Weekend
96,2019-04-07,Weekday
97,2019-04-08,Weekday
98,2019-04-09,Weekday
99,2019-04-10,Weekday
100,2019-04-11,Weekday
101,2019-04-12,Weekend
102,2019-04-13,Weekend
103,2019-04-14,Holiday
104,2019-04-15,Weekday
105,2019-04-16,Weekday
106,2019-04-17,Weekday
107,2019-04-18,Weekday
108,2019-04-19,Weekend
109,2019-04-20,Weekend
110,2019-04-21,Holiday
111,2019-04-22,Weekday
112,2019-04-23,Weekday
113,2019-04-24,Weekday
114,2019-04-25,Weekday
115,2019-04-26,Weekend
116,2019-04-27,Weekend
117,2019-04-28,Weekday
118,2019-04-29,Weekday
119,2019-04-30,Weekday
120,2019-05-01,Holiday
121,2019-05-02,Weekday
122,2019-05-03,Weekend
123,2019-05-04,Weekend
124,2019-05-05,Weekday
125,2019-05-06,Weekday
126,2019-05-07,Weekday
127,2019-05-08,Weekday
128,2019-05-09,Weekday
129,2019-05-10,Weekend
130,2019-05-11,Weekend
131,2019-05-12,Weekday
132,2019-05-13,Weekday
133,2019-05-14,Weekday
134,2019-05-15,Weekday
135,2019-05-16,Weekday
136,2019-05-17,Weekend
137,2019-05-18,Weekend
138,2019-05-19,Weekday
139,2019-05-20,Weekday
140,2019-05-21,Weekday
141,2019-05-22,Weekday
142,2019-05-23,Weekday
143,2019-05-24,Weekend
144,2019-05-25,Weekend
145,2019-05-26,Weekday
146,2019-05-27,Weekday
147,2019-05-28,Weekday
148,2019-05-29,Weekday
149,2019-05-30,Weekday
150,2019-05-31,Weekend
